category,title,creator,publication_year,description
album,Blue Breaker,Dr. Sarai Langosh,1949,Et et expedita non aut quo.
book,Joe Treat,Blaise Lesch,1968,Voluptatem adipisci qui velit.
movie,La La Land,Damien Chazelle,2016,A jazz pianist falls for an aspiring actress in Los Angeles.
album,Kreb-Full-o Been,Ms. Trevion Buckridge,2016,Vero consectetur delectus consequatur id aut accusantium unde excepturi.
album,Wake-up Pie,Timmy Streich I,1919,Voluptatem consequatur qui consectetur nisi officiis culpa.
movie,Hidden Figures,Theodore Melfi,2016,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.
album,Major Cup,Jayde Bartoletti,1944,Quis recusandae cum est facere consequatur minima magni et.
book,Summer Select,Ms. Gwendolyn Ortiz,1946,Et molestiae eos nam odit aut sed.
album,Holiday Choice,Alexandria Lehner,1940,Excepturi voluptas ut voluptatum.
book,Postmodern Blend,Meredith Brekke,1970,Dolorem fugit accusantium qui.
book,Green Forrester,Raquel Hirthe,1933,Omnis qui quia odio.
movie,Bad Moms,Jon Lucas,2016,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence."
album,Winter Mug,Tia Weissnat II,1990,Laboriosam autem iusto quae sed voluptate et.
book,Red Pie,Davon Kub,1961,Id dolorem qui laborum quia.
album,Major Equinox,Queen Satterfield,1997,Fugit perferendis est quam sunt porro vel rerum.
book,Melty Breaker,Montana Dickinson Sr.,1991,Perferendis harum fuga corporis.
book,Winter Pie,Mr. Syble Kuhn,1970,Incidunt molestias deserunt laudantium.
movie,X-Men: Apocalypse,Bryan Singer,2016,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan."
movie,Why Him?,John Hamburg,2016,A holiday gathering threatens to go off the rails when Ned Fleming realizes that his daughter's Silicon Valley millionaire boyfriend is about to pop the question.
album,Goodbye Utopia,Orion Spencer,1962,Praesentium enim pariatur voluptatem sed quod dolorum.
album,Green Select,Berneice Jenkins,1957,Hic repudiandae molestiae id nulla aliquid maiores necessitatibus.
book,Blacktop Enlightenment,Seamus D'Amore,1928,Ea id cumque et pariatur magni nemo dolorem.
album,Express Extract,Dorothy Jast I,1969,Dolores dolorum aut ea aperiam et voluptatem.
album,Winter Been,Mackenzie Wilkinson,1932,Culpa repudiandae et at sint et amet fugiat et.
book,Heart Mug,Orpha Douglas,2009,Qui voluptas alias quia.
movie,Fifty Shades of Grey,Sam Taylor-Johnson,2015,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey."
album,Blue Treat,Eliseo Gorczany,1979,Sit est quis veniam saepe.
book,Hello Town,Laury Walter,2005,Est sed ut asperiores sed fugiat.
movie,Harry Potter and the Deathly Hallows: Part 2,David Yates,2011,"Harry, Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
album,Blacktop Choice,Casey Feil,2008,Temporibus ex maxime labore quam et natus quia ipsum.
book,Huggy Star,Nigel Lesch DVM,1962,Voluptatem ea aspernatur nesciunt ipsa quis error corporis placeat.
movie,The Great Gatsby,Baz Luhrmann,2013,"A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby."
movie,The Big Short,Adam McKay,2015,"Four denizens in the world of high-finance predict the credit and housing bubble collapse of the mid-2000s, and decide to take on the big banks for their greed and lack of foresight."
movie,X-Men: Days of Future Past,Bryan Singer,2014,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.
movie,The Girl with the Dragon Tattoo,David Fincher,2011,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker."
movie,Pitch Perfect,Jason Moore,2012,"Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition."
movie,The Devil Wears Prada,David Frankel,2006,"A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine."